case_id,image_path,source,label,split,notes
1,data/brutes_kaggle/ABNORMAL-LUNG_00001_suspected_opacity_001.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00001_suspected_opacity_001.jpg
2,data/brutes_kaggle/ABNORMAL-LUNG_00002_suspected_opacity_002.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00002_suspected_opacity_002.jpg
3,data/brutes_kaggle/ABNORMAL-LUNG_00003_suspected_opacity_003.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00003_suspected_opacity_003.jpg
4,data/brutes_kaggle/ABNORMAL-LUNG_00004_suspected_opacity_004.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00004_suspected_opacity_004.jpg
5,data/brutes_kaggle/ABNORMAL-LUNG_00005_suspected_opacity_005.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00005_suspected_opacity_005.jpg
6,data/brutes_kaggle/ABNORMAL-LUNG_00006_suspected_opacity_006.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00006_suspected_opacity_006.jpg
7,data/brutes_kaggle/ABNORMAL-LUNG_00007_suspected_opacity_007.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00007_suspected_opacity_007.jpg
8,data/brutes_kaggle/ABNORMAL-LUNG_00008_suspected_opacity_008.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00008_suspected_opacity_008.jpg
9,data/brutes_kaggle/ABNORMAL-LUNG_00009_suspected_opacity_009.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00009_suspected_opacity_009.jpg
10,data/brutes_kaggle/ABNORMAL-LUNG_00010_suspected_opacity_010.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00010_suspected_opacity_010.jpg
11,data/brutes_kaggle/ABNORMAL-LUNG_00011_suspected_opacity_011.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00011_suspected_opacity_011.jpg
12,data/brutes_kaggle/ABNORMAL-LUNG_00012_suspected_opacity_012.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00012_suspected_opacity_012.jpg
13,data/brutes_kaggle/ABNORMAL-LUNG_00013_suspected_opacity_013.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00013_suspected_opacity_013.jpg
14,data/brutes_kaggle/ABNORMAL-LUNG_00014_suspected_opacity_014.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00014_suspected_opacity_014.jpg
15,data/brutes_kaggle/ABNORMAL-LUNG_00015_suspected_opacity_015.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00015_suspected_opacity_015.jpg
16,data/brutes_kaggle/ABNORMAL-LUNG_00016_suspected_opacity_016.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00016_suspected_opacity_016.jpg
17,data/brutes_kaggle/ABNORMAL-LUNG_00017_suspected_opacity_017.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00017_suspected_opacity_017.jpg
18,data/brutes_kaggle/ABNORMAL-LUNG_00018_suspected_opacity_018.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00018_suspected_opacity_018.jpg
19,data/brutes_kaggle/ABNORMAL-LUNG_00019_suspected_opacity_019.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00019_suspected_opacity_019.jpg
20,data/brutes_kaggle/ABNORMAL-LUNG_00020_suspected_opacity_020.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00020_suspected_opacity_020.jpg
21,data/brutes_kaggle/ABNORMAL-LUNG_00021_suspected_opacity_021.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00021_suspected_opacity_021.jpg
22,data/brutes_kaggle/ABNORMAL-LUNG_00022_suspected_opacity_022.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00022_suspected_opacity_022.jpg
23,data/brutes_kaggle/ABNORMAL-LUNG_00023_suspected_opacity_023.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00023_suspected_opacity_023.jpg
24,data/brutes_kaggle/ABNORMAL-LUNG_00024_suspected_opacity_024.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00024_suspected_opacity_024.jpg
25,data/brutes_kaggle/ABNORMAL-LUNG_00025_suspected_opacity_025.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00025_suspected_opacity_025.jpg
26,data/brutes_kaggle/ABNORMAL-LUNG_00026_suspected_opacity_026.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00026_suspected_opacity_026.jpg
27,data/brutes_kaggle/ABNORMAL-LUNG_00027_suspected_opacity_027.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00027_suspected_opacity_027.jpg
28,data/brutes_kaggle/ABNORMAL-LUNG_00028_suspected_opacity_028.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00028_suspected_opacity_028.jpg
29,data/brutes_kaggle/ABNORMAL-LUNG_00029_suspected_opacity_029.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,Importé depuis ABNORMAL-LUNG_00029_suspected_opacity_029.jpg
