case_id,image_path,source,label,split,quality,notes
ABNORMAL-LUNG_00001,data/lung_images/ABNORMAL-LUNG_00001_suspected_opacity_001.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 001.JPG
ABNORMAL-LUNG_00002,data/lung_images/ABNORMAL-LUNG_00002_suspected_opacity_002.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 002.JPG
ABNORMAL-LUNG_00003,data/lung_images/ABNORMAL-LUNG_00003_suspected_opacity_003.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 003.JPG
ABNORMAL-LUNG_00004,data/lung_images/ABNORMAL-LUNG_00004_suspected_opacity_004.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 004.JPG
ABNORMAL-LUNG_00005,data/lung_images/ABNORMAL-LUNG_00005_suspected_opacity_005.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 005.JPG
ABNORMAL-LUNG_00006,data/lung_images/ABNORMAL-LUNG_00006_suspected_opacity_006.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 006.JPG
ABNORMAL-LUNG_00007,data/lung_images/ABNORMAL-LUNG_00007_suspected_opacity_007.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 007.JPG
ABNORMAL-LUNG_00008,data/lung_images/ABNORMAL-LUNG_00008_suspected_opacity_008.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 008.JPG
ABNORMAL-LUNG_00009,data/lung_images/ABNORMAL-LUNG_00009_suspected_opacity_009.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 009.JPG
ABNORMAL-LUNG_00010,data/lung_images/ABNORMAL-LUNG_00010_suspected_opacity_010.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 010.JPG
ABNORMAL-LUNG_00011,data/lung_images/ABNORMAL-LUNG_00011_suspected_opacity_011.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 011.JPG
ABNORMAL-LUNG_00012,data/lung_images/ABNORMAL-LUNG_00012_suspected_opacity_012.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 012.JPG
ABNORMAL-LUNG_00013,data/lung_images/ABNORMAL-LUNG_00013_suspected_opacity_013.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 013.JPG
ABNORMAL-LUNG_00014,data/lung_images/ABNORMAL-LUNG_00014_suspected_opacity_014.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 014.JPG
ABNORMAL-LUNG_00015,data/lung_images/ABNORMAL-LUNG_00015_suspected_opacity_015.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 015.JPG
ABNORMAL-LUNG_00016,data/lung_images/ABNORMAL-LUNG_00016_suspected_opacity_016.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 016.JPG
ABNORMAL-LUNG_00017,data/lung_images/ABNORMAL-LUNG_00017_suspected_opacity_017.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 017.JPG
ABNORMAL-LUNG_00018,data/lung_images/ABNORMAL-LUNG_00018_suspected_opacity_018.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 018.JPG
ABNORMAL-LUNG_00019,data/lung_images/ABNORMAL-LUNG_00019_suspected_opacity_019.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 019.JPG
ABNORMAL-LUNG_00020,data/lung_images/ABNORMAL-LUNG_00020_suspected_opacity_020.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 020.JPG
ABNORMAL-LUNG_00021,data/lung_images/ABNORMAL-LUNG_00021_suspected_opacity_021.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 021.JPG
ABNORMAL-LUNG_00022,data/lung_images/ABNORMAL-LUNG_00022_suspected_opacity_022.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 022.JPG
ABNORMAL-LUNG_00023,data/lung_images/ABNORMAL-LUNG_00023_suspected_opacity_023.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 023.JPG
ABNORMAL-LUNG_00024,data/lung_images/ABNORMAL-LUNG_00024_suspected_opacity_024.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 024.JPG
ABNORMAL-LUNG_00025,data/lung_images/ABNORMAL-LUNG_00025_suspected_opacity_025.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 025.JPG
ABNORMAL-LUNG_00026,data/lung_images/ABNORMAL-LUNG_00026_suspected_opacity_026.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 026.JPG
ABNORMAL-LUNG_00027,data/lung_images/ABNORMAL-LUNG_00027_suspected_opacity_027.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 027.JPG
ABNORMAL-LUNG_00028,data/lung_images/ABNORMAL-LUNG_00028_suspected_opacity_028.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 028.JPG
ABNORMAL-LUNG_00029,data/lung_images/ABNORMAL-LUNG_00029_suspected_opacity_029.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 029.JPG
ABNORMAL-LUNG_00030,data/lung_images/ABNORMAL-LUNG_00030_suspected_opacity_030.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 030.JPG
ABNORMAL-LUNG_00031,data/lung_images/ABNORMAL-LUNG_00031_suspected_opacity_031.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 031.JPG
