case_id,image_path,source,label,split,quality,notes
NORMAL-LUNG_00001,data/normal_lung_probe/NORMAL-LUNG_00001_normal_004.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 004.JPG
NORMAL-LUNG_00002,data/normal_lung_probe/NORMAL-LUNG_00002_normal_005.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 005.JPG
NORMAL-LUNG_00003,data/normal_lung_probe/NORMAL-LUNG_00003_normal_008.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 008.JPG
NORMAL-LUNG_00004,data/normal_lung_probe/NORMAL-LUNG_00004_normal_010.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 010.JPG
NORMAL-LUNG_00005,data/normal_lung_probe/NORMAL-LUNG_00005_normal_011.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 011.JPG
NORMAL-LUNG_00006,data/normal_lung_probe/NORMAL-LUNG_00006_normal_012.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 012.JPG
NORMAL-LUNG_00007,data/normal_lung_probe/NORMAL-LUNG_00007_normal_013.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 013.JPG
NORMAL-LUNG_00008,data/normal_lung_probe/NORMAL-LUNG_00008_normal_014.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 014.JPG
NORMAL-LUNG_00009,data/normal_lung_probe/NORMAL-LUNG_00009_normal_015.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 015.JPG
NORMAL-LUNG_00010,data/normal_lung_probe/NORMAL-LUNG_00010_normal_016.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 016.JPG
NORMAL-LUNG_00011,data/normal_lung_probe/NORMAL-LUNG_00011_normal_017.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 017.JPG
NORMAL-LUNG_00012,data/normal_lung_probe/NORMAL-LUNG_00012_normal_018.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 018.JPG
NORMAL-LUNG_00013,data/normal_lung_probe/NORMAL-LUNG_00013_normal_020.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 020.JPG
NORMAL-LUNG_00014,data/normal_lung_probe/NORMAL-LUNG_00014_normal_021.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 021.JPG
NORMAL-LUNG_00015,data/normal_lung_probe/NORMAL-LUNG_00015_normal_023.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 023.JPG
NORMAL-LUNG_00016,data/normal_lung_probe/NORMAL-LUNG_00016_normal_024.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 024.JPG
NORMAL-LUNG_00017,data/normal_lung_probe/NORMAL-LUNG_00017_normal_025.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 025.JPG
NORMAL-LUNG_00018,data/normal_lung_probe/NORMAL-LUNG_00018_normal_027.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 027.JPG
NORMAL-LUNG_00019,data/normal_lung_probe/NORMAL-LUNG_00019_normal_028.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 028.JPG
NORMAL-LUNG_00020,data/normal_lung_probe/NORMAL-LUNG_00020_normal_029.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 029.JPG
NORMAL-LUNG_00021,data/normal_lung_probe/NORMAL-LUNG_00021_normal_030.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 030.JPG
NORMAL-LUNG_00022,data/normal_lung_probe/NORMAL-LUNG_00022_normal_031.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 031.JPG
NORMAL-LUNG_00023,data/normal_lung_probe/NORMAL-LUNG_00023_normal_033.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 033.JPG
NORMAL-LUNG_00024,data/normal_lung_probe/NORMAL-LUNG_00024_normal_034.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 034.JPG
NORMAL-LUNG_00025,data/normal_lung_probe/NORMAL-LUNG_00025_normal_035.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 035.JPG
NORMAL-LUNG_00026,data/normal_lung_probe/NORMAL-LUNG_00026_normal_036.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 036.JPG
NORMAL-LUNG_00027,data/normal_lung_probe/NORMAL-LUNG_00027_normal_037.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 037.JPG
NORMAL-LUNG_00028,data/normal_lung_probe/NORMAL-LUNG_00028_normal_039.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 039.JPG
NORMAL-LUNG_00029,data/normal_lung_probe/NORMAL-LUNG_00029_normal_040.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 040.JPG
NORMAL-LUNG_00030,data/normal_lung_probe/NORMAL-LUNG_00030_normal_041.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 041.JPG
NORMAL-LUNG_00031,data/normal_lung_probe/NORMAL-LUNG_00031_normal_042.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 042.JPG
NORMAL-LUNG_00032,data/normal_lung_probe/NORMAL-LUNG_00032_normal_043.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 043.JPG
NORMAL-LUNG_00033,data/normal_lung_probe/NORMAL-LUNG_00033_normal_044.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 044.JPG
NORMAL-LUNG_00034,data/normal_lung_probe/NORMAL-LUNG_00034_normal_045.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 045.JPG
NORMAL-LUNG_00035,data/normal_lung_probe/NORMAL-LUNG_00035_normal_046.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 046.JPG
NORMAL-LUNG_00036,data/normal_lung_probe/NORMAL-LUNG_00036_normal_047.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 047.JPG
NORMAL-LUNG_00037,data/normal_lung_probe/NORMAL-LUNG_00037_normal_049.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 049.JPG
NORMAL-LUNG_00038,data/normal_lung_probe/NORMAL-LUNG_00038_normal_050.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 050.JPG
NORMAL-LUNG_00039,data/normal_lung_probe/NORMAL-LUNG_00039_normal_051.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 051.JPG
NORMAL-LUNG_00040,data/normal_lung_probe/NORMAL-LUNG_00040_normal_052.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 052.JPG
NORMAL-LUNG_00041,data/normal_lung_probe/NORMAL-LUNG_00041_normal_053.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 053.JPG
NORMAL-LUNG_00042,data/normal_lung_probe/NORMAL-LUNG_00042_normal_054.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 054.JPG
NORMAL-LUNG_00043,data/normal_lung_probe/NORMAL-LUNG_00043_normal_055.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 055.JPG
NORMAL-LUNG_00044,data/normal_lung_probe/NORMAL-LUNG_00044_normal_056.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 056.JPG
NORMAL-LUNG_00045,data/normal_lung_probe/NORMAL-LUNG_00045_normal_058.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 058.JPG
NORMAL-LUNG_00046,data/normal_lung_probe/NORMAL-LUNG_00046_normal_059.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 059.JPG
NORMAL-LUNG_00047,data/normal_lung_probe/NORMAL-LUNG_00047_normal_060.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 060.JPG
NORMAL-LUNG_00048,data/normal_lung_probe/NORMAL-LUNG_00048_normal_061.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 061.JPG
NORMAL-LUNG_00049,data/normal_lung_probe/NORMAL-LUNG_00049_normal_062.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 062.JPG
NORMAL-LUNG_00050,data/normal_lung_probe/NORMAL-LUNG_00050_normal_063.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 063.JPG
NORMAL-LUNG_00051,data/normal_lung_probe/NORMAL-LUNG_00051_normal_064.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 064.JPG
NORMAL-LUNG_00052,data/normal_lung_probe/NORMAL-LUNG_00052_normal_065.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 065.JPG
NORMAL-LUNG_00053,data/normal_lung_probe/NORMAL-LUNG_00053_normal_066.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 066.JPG
NORMAL-LUNG_00054,data/normal_lung_probe/NORMAL-LUNG_00054_normal_067.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 067.JPG
NORMAL-LUNG_00055,data/normal_lung_probe/NORMAL-LUNG_00055_normal_069.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 069.JPG
NORMAL-LUNG_00056,data/normal_lung_probe/NORMAL-LUNG_00056_normal_071.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 071.JPG
NORMAL-LUNG_00057,data/normal_lung_probe/NORMAL-LUNG_00057_normal_072.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 072.JPG
NORMAL-LUNG_00058,data/normal_lung_probe/NORMAL-LUNG_00058_normal_074.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 074.JPG
NORMAL-LUNG_00059,data/normal_lung_probe/NORMAL-LUNG_00059_normal_075.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 075.JPG
NORMAL-LUNG_00060,data/normal_lung_probe/NORMAL-LUNG_00060_normal_076.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 076.JPG
NORMAL-LUNG_00061,data/normal_lung_probe/NORMAL-LUNG_00061_normal_077.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 077.JPG
NORMAL-LUNG_00062,data/normal_lung_probe/NORMAL-LUNG_00062_normal_079.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 079.JPG
NORMAL-LUNG_00063,data/normal_lung_probe/NORMAL-LUNG_00063_normal_080.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 080.JPG
NORMAL-LUNG_00064,data/normal_lung_probe/NORMAL-LUNG_00064_normal_081.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 081.JPG
NORMAL-LUNG_00065,data/normal_lung_probe/NORMAL-LUNG_00065_normal_082.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 082.JPG
NORMAL-LUNG_00066,data/normal_lung_probe/NORMAL-LUNG_00066_normal_083.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 083.JPG
NORMAL-LUNG_00067,data/normal_lung_probe/NORMAL-LUNG_00067_normal_084.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 084.JPG
NORMAL-LUNG_00068,data/normal_lung_probe/NORMAL-LUNG_00068_normal_085.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 085.JPG
NORMAL-LUNG_00069,data/normal_lung_probe/NORMAL-LUNG_00069_normal_088.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 088.JPG
NORMAL-LUNG_00070,data/normal_lung_probe/NORMAL-LUNG_00070_normal_089.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 089.JPG
NORMAL-LUNG_00071,data/normal_lung_probe/NORMAL-LUNG_00071_normal_091.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 091.JPG
NORMAL-LUNG_00072,data/normal_lung_probe/NORMAL-LUNG_00072_normal_092.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 092.JPG
NORMAL-LUNG_00073,data/normal_lung_probe/NORMAL-LUNG_00073_normal_093.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 093.JPG
NORMAL-LUNG_00074,data/normal_lung_probe/NORMAL-LUNG_00074_normal_094.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 094.JPG
NORMAL-LUNG_00075,data/normal_lung_probe/NORMAL-LUNG_00075_normal_096.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 096.JPG
NORMAL-LUNG_00076,data/normal_lung_probe/NORMAL-LUNG_00076_normal_097.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 097.JPG
NORMAL-LUNG_00077,data/normal_lung_probe/NORMAL-LUNG_00077_normal_101.jpg,fkarimovv/normal-lung,normal,external,unknown,Imported from 101.JPG
