case_id,image_path,source,label,split,quality,notes
1,data/sample_images/CXR_SYN_001_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
2,data/sample_images/CXR_SYN_002_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
3,data/sample_images/CXR_SYN_003_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
4,data/sample_images/CXR_SYN_004_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
5,data/sample_images/CXR_SYN_005_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
6,data/sample_images/CXR_SYN_006_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
7,data/sample_images/CXR_SYN_007_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
8,data/sample_images/CXR_SYN_008_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
9,data/sample_images/CXR_SYN_009_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
10,data/sample_images/CXR_SYN_010_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
11,data/sample_images/CXR_SYN_011_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
12,data/sample_images/CXR_SYN_012_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
13,data/sample_images/CXR_SYN_013_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
14,data/sample_images/CXR_SYN_014_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
15,data/sample_images/CXR_SYN_015_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
16,data/sample_images/CXR_SYN_016_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
17,data/sample_images/CXR_SYN_017_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
18,data/sample_images/CXR_SYN_018_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
19,data/sample_images/CXR_SYN_019_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
20,data/sample_images/CXR_SYN_020_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
21,data/sample_images/CXR_SYN_021_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
22,data/sample_images/CXR_SYN_022_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
23,data/sample_images/CXR_SYN_023_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
24,data/sample_images/CXR_SYN_024_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
25,data/sample_images/CXR_SYN_025_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
26,data/sample_images/CXR_SYN_026_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
27,data/sample_images/CXR_SYN_027_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
28,data/sample_images/CXR_SYN_028_normal.png,synthetic_toy,normal,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
29,data/sample_images/CXR_SYN_029_suspected_opacity.png,synthetic_toy,suspected_opacity,final,good,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
30,data/sample_images/CXR_SYN_030_uncertain.png,synthetic_toy,uncertain,final,limited,"Image synthetique generee pour valider le pipeline, ne provient pas d un vrai patient."
