case_id,file,path,folder,ground_truth,toy_class,toy_confidence,vlm_baseline_class,vlm_baseline_confidence,vlm_improved_class,vlm_improved_confidence
1,NORMAL-LUNG_00115_normal_142.jpg,data\normal_lung_probe\NORMAL-LUNG_00115_normal_142.jpg,normal_lung_probe,normal,normal,0.743,normal,0.95,normal,0.8
2,NORMAL-LUNG_00026_normal_036.jpg,data\normal_lung_probe\NORMAL-LUNG_00026_normal_036.jpg,normal_lung_probe,normal,normal,0.73,normal,0.95,normal,0.8
3,NORMAL-LUNG_00282_normal_320.jpg,data\normal_lung_probe\NORMAL-LUNG_00282_normal_320.jpg,normal_lung_probe,normal,normal,0.752,normal,0.95,normal,0.8
4,NORMAL-LUNG_00251_normal_285.jpg,data\normal_lung_probe\NORMAL-LUNG_00251_normal_285.jpg,normal_lung_probe,normal,normal,0.728,normal,0.95,normal,0.8
5,NORMAL-LUNG_00229_normal_262.jpg,data\normal_lung_probe\NORMAL-LUNG_00229_normal_262.jpg,normal_lung_probe,normal,normal,0.739,normal,0.95,normal,0.8
6,ABNORMAL-LUNG_00143_suspected_opacity_152.jpg,data\lung_images\ABNORMAL-LUNG_00143_suspected_opacity_152.jpg,lung_images,suspected_opacity,suspected_opacity,0.704,normal,0.95,normal,0.8
7,NORMAL-LUNG_00755_normal_374.jpg,data\lung_images\NORMAL-LUNG_00755_normal_374.jpg,lung_images,normal,normal,0.731,normal,0.8,normal,0.8
8,ABNORMAL-LUNG_00105_suspected_opacity_112.jpg,data\lung_images\ABNORMAL-LUNG_00105_suspected_opacity_112.jpg,lung_images,suspected_opacity,suspected_opacity,0.717,suspected_opacity,0.3,normal,0.8
9,NORMAL-LUNG_00693_normal_308.jpg,data\lung_images\NORMAL-LUNG_00693_normal_308.jpg,lung_images,normal,normal,0.747,normal,0.95,normal,0.8
10,NORMAL-LUNG_00759_normal_378.jpg,data\lung_images\NORMAL-LUNG_00759_normal_378.jpg,lung_images,normal,normal,0.714,normal,0.95,normal,0.8
11,ABNORMAL_LUNG_00280_suspected_opacity_293.jpg,data\abnormal_lung_images\ABNORMAL_LUNG_00280_suspected_opacity_293.jpg,abnormal_lung_images,suspected_opacity,suspected_opacity,0.72,normal,0.95,normal,0.8
12,ABNORMAL_LUNG_00045_suspected_opacity_052.jpg,data\abnormal_lung_images\ABNORMAL_LUNG_00045_suspected_opacity_052.jpg,abnormal_lung_images,suspected_opacity,suspected_opacity,0.704,normal,0.95,normal,0.8
13,ABNORMAL_LUNG_00303_suspected_opacity_322.jpg,data\abnormal_lung_images\ABNORMAL_LUNG_00303_suspected_opacity_322.jpg,abnormal_lung_images,suspected_opacity,suspected_opacity,0.701,normal,0.95,normal,0.8
14,ABNORMAL_LUNG_00217_suspected_opacity_228.jpg,data\abnormal_lung_images\ABNORMAL_LUNG_00217_suspected_opacity_228.jpg,abnormal_lung_images,suspected_opacity,suspected_opacity,0.713,uncertain,0.2,normal,0.8
15,ABNORMAL_LUNG_00017_suspected_opacity_017.jpg,data\abnormal_lung_images\ABNORMAL_LUNG_00017_suspected_opacity_017.jpg,abnormal_lung_images,suspected_opacity,suspected_opacity,0.696,normal,0.95,normal,0.8
